country,iso3,avg_gdp_per_capita,athlete_count,total_medals
Afghanistan,AFG,450.58337083615527,57,2
Albania,ALB,2838.8141747999316,45,0
Andorra,AND,25919.174804066384,61,0
Argentina,ARG,5822.0563679418865,1329,36
Armenia,ARM,2079.603893107439,146,16
Australia,AUS,25917.347442878334,3355,424
Austria,AUT,21473.35315056648,1463,215
Azerbaijan,AZE,3851.351489730831,193,44
Bahrain,BRN,30006.58619742357,90,3
Belarus,BLR,3653.740278283748,763,99
Belgium,BEL,20468.449474117002,873,53
Benin,BEN,519.0683545844431,54,0
Boliva,BOL,1023.4069213527303,86,0
Bosnia and Herzegovina,BIH,2682.979968664373,73,0
Brazil,BRA,5267.715987707089,1759,120
Bulgaria,BGR,2863.655359999083,1363,217
Burundi,BDI,178.72220991536037,25,2
Cameroon,CMR,964.6996657730691,227,5
Canada,CAN,24085.203110326504,3854,357
Cape Verde,CPV,2709.9234000370075,13,0
Central African Republic,CAF,415.28344061508074,50,0
Chile,CHI,53463.87568485547,300,6
China,CHN,2705.628715304063,2580,595
China,HKG,17618.15450435867,317,3
Colombia,COL,3292.9762910303402,584,27
Comoros,COM,1154.0504192986564,15,0
Cuba,CUB,3084.4013295513882,1195,207
Cyprus,CYP,16400.578951822918,120,1
Czech Republic,CZE,13720.165841379441,734,78
Democratic Republic of the Congo,COD,243.2827522812506,69,0
Denmark,DNK,29206.18511595625,1017,97
Djibouti,DJI,1263.3709459251118,28,1
Dominica,DMA,5843.672569701965,17,0
Dominican Republic,DOM,3084.8801346489417,208,7
Ecuador,ECU,2958.5274317614753,155,2
Egypt,EGY,1446.1647880806506,746,12
Eritrea,ERI,445.6849181964382,26,1
Estonia,EST,11034.80713374147,257,20
Ethiopia,ETH,241.38999288529007,224,53
Finland,FIN,19601.313876299737,1408,190
France,FRA,22115.465168188046,3419,467
Gabon,GAB,6709.750210017971,48,1
Georgia,GEO,2364.271627155781,167,32
Germany,DEU,29295.398191497134,3257,681
Ghana,GHA,418.1532539863896,238,4
Greece,GRC,15343.674862369677,1065,61
Guam,GUM,30172.676293296438,66,0
Guyana,GUY,1524.4689881121924,66,1
Hungary,HUN,5284.339094388317,1865,316
Iceland,ISL,27118.907096602514,238,3
India,IND,632.6070667480897,650,19
Iraq,IRQ,2563.1313397917806,183,1
Ireland,IRL,23508.312702871688,618,21
Israel,ISR,18150.052189725484,327,9
Italy,ITA,19207.249172835596,3406,482
Ivory Coast,CIV,968.8433093024539,124,3
Jamaica,JAM,2803.356204503976,351,68
Japan,JPN,25120.72477772024,3461,410
Jordan,JOR,2374.26539959945,61,1
Kazakhstan,KAZ,5332.032901620845,694,77
Kenya,KEN,547.6571897989635,501,100
Kiribati,KIR,1529.9741549685311,9,0
Kyrgyzstan,KGZ,543.4556773516216,129,3
Laos,LAO,765.1960803864246,47,0
Liberia,LBR,333.87904377277783,41,0
Liechtenstein,LIE,52382.65672547558,104,9
Lithuania,LTU,9303.662276376932,295,25
Luxembourg,LUX,30606.04722194741,126,2
Macedonia,MKD,3320.717923519745,47,1
Maldives,MDV,3343.8467859751677,31,0
Mali,MLI,503.7155425396352,75,0
Malta,MLT,11693.794110420666,61,0
Marshall Islands,MHL,3521.0097288556194,12,0
Mexico,MEX,3587.4681529101417,1269,53
Micronesia,FSM,2518.0057066555623,18,0
Moldova,MDA,1403.0382944646876,131,7
Montenegro,MNE,6906.890486716597,55,1
Morocco,MAR,1501.9870771257074,460,23
Mozambique,MOZ,419.3218369380763,52,2
Namibia,NAM,3432.857130746249,40,4
Nauru,NRU,5107.1638045970085,10,0
Netherlands,NLD,26731.484583155314,1892,298
New Zealand,NZL,19498.56273940461,1226,108
Norway,NOR,38030.24962264118,1326,296
Pakistan,PAK,418.7661766940695,279,9
Palau,PLW,11561.66114385823,21,0
Panama,PAN,4028.2154273045467,83,1
Papua New Guinea,PNG,1183.4162724658547,61,0
Peru,PER,1856.994340106472,266,3
Poland,POL,8565.246709325858,2384,267
Portugal,PRT,11396.58314600359,569,18
Qatar,QAT,42961.160417509054,141,5
Romania,ROU,3969.352431041096,1504,285
Russia,RUS,7259.727119925972,2257,576
Rwanda,RWA,402.66848668706416,37,0
Saint Lucia,LCA,7451.386480553597,21,0
San Marino,SMR,53019.9523788068,92,0
Sao Tome and Principe,STP,1033.434860901398,13,0
Senegal,SEN,767.9548034597263,234,1
Serbia,SRB,6464.587801677629,227,15
Sierra Leone,SLE,307.30649372951444,62,0
Slovakia,SVK,11530.658434413464,457,33
Somalia,SOM,231.01239723427307,22,0
South Africa,ZAF,4809.821349828093,691,38
South Korea,KOR,13186.820281349339,2311,310
Spain,ESP,15981.306955526983,2321,143
Suriname,SUR,3031.325299646144,33,2
Swaziland,SWZ,1461.7851384872922,42,0
Sweden,SWE,25783.443594697597,2132,247
Switzerland,CHE,36420.59223899336,1877,188
Syria,SYR,1338.9354706390307,131,3
Tajikistan,TJK,604.2429221823155,45,4
Thailand,THA,2190.879214136772,425,30
Timor-Leste,TLS,983.7348970769079,8,0
Trinidad,TTO,9205.795548305707,157,16
Tunisia,TUN,2583.1304619049774,416,13
Turkey,TUR,5295.561106184146,611,71
Turkmenistan,TKM,3158.238075503431,41,0
UK,GBR,20825.125443827234,3553,452
USA,USA,28401.367915854677,6380,1685
Uganda,UGA,297.4662521755488,175,7
Ukraine,UKR,2051.7864969483862,1134,133
Uzbekistan,UZB,1207.299926640032,295,34
Venezuela,VEN,5274.879106356928,496,14
Yemen,YEM,951.0823935155738,28,0
